"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.4626924032065,1,0.992,0,"0","MYL6"
0,0.458741783248982,0.265,0.089,0,"0","CD4"
0,0.458608795866406,1,1,0,"0","RPS8"
0,0.45644838236763,1,1,0,"0","RPS13"
0,0.452037055256015,1,1,0,"0","RPS4X"
0,0.443657788645526,1,1,0,"0","RPL15"
0,0.442957851418897,1,0.999,0,"0","RPS23"
0,0.439864996458841,1,1,0,"0","RPL13"
0,0.432019083934014,1,0.979,0,"0","HNRNPA1"
0,0.428348338875975,1,1,0,"0","RPL13A"
0,0.420991563078289,1,1,0,"0","RPS14"
0,0.418735721254837,1,0.994,0,"0","RPL22"
0,0.417540521373537,1,0.997,0,"0","RPL5"
0,0.415385185810478,1,1,0,"0","RPL18A"
0,0.411660130300818,0.98,0.856,0,"0","ITM2B"
0,0.401864939408871,0.91,0.706,0,"0","PNRC1"
0,0.395932913863963,1,0.999,0,"0","RPL24"
0,0.39268074833134,1,1,0,"0","RPS3"
0,0.386533746461075,1,1,0,"0","RPS19"
0,0.380480474766145,1,0.999,0,"0","RPL14"
0,0.375899428901833,1,1,0,"0","RPS17"
0,0.372055646410983,1,1,0,"0","RPS15"
0,0.363001577898538,1,0.999,0,"0","RPL39"
5.00010199952393e-306,0.58729977158043,0.391,0.192,1.21672482056415e-301,"0","EVI2B"
2.77761708548634e-301,0.438709200605537,0.87,0.767,6.75905341582245e-297,"0","FUS"
2.13415432081028e-300,0.59139720363229,0.335,0.157,5.19325112425974e-296,"0","SMAP2"
4.78084543148215e-296,0.764264160866607,0.525,0.342,1.16337092729687e-291,"0","ARID5B"
5.18193195309119e-292,0.558156817794028,0.256,0.097,1.26097132146521e-287,"0","FAM129A"
1.16637138159703e-291,0.36502840592044,1,0.999,2.83824811997822e-287,"0","RPL10A"
1.01485204609599e-290,0.498127793695442,0.312,0.129,2.46954096896999e-286,"0","RUNX3"
4.73738104382071e-290,0.762528854956097,0.48,0.301,1.15279430320333e-285,"0","CRIP1"
4.66179162857691e-289,0.673574007082205,0.597,0.475,1.1344003748979e-284,"0","KMT2E"
1.51029262890257e-285,0.36804661659497,0.409,0.182,3.67514608317152e-281,"0","ITGB2"
8.76339127237012e-284,0.557826797271798,0.443,0.232,2.13248363221854e-279,"0","ZNF331"
4.61363290882659e-282,0.673284480187122,0.606,0.513,1.12268143203386e-277,"0","SELT"
1.56289240005508e-280,0.461210537285246,0.928,0.853,3.80314236629403e-276,"0","HNRNPK"
1.46800294260297e-277,0.553952496937688,0.998,0.987,3.57223836053007e-273,"0","RPS26"
2.05109198459043e-277,0.424960429341364,0.999,0.968,4.99112723530236e-273,"0","HINT1"
1.07800985792478e-275,0.660225610359053,0.329,0.145,2.62322918827416e-271,"0","CD27"
1.96652645236534e-275,0.447615775474827,0.928,0.842,4.78534546918581e-271,"0","EIF3F"
1.41774675623842e-274,0.662948598079135,0.469,0.297,3.44994495663057e-270,"0","ARID5A"
2.4709837918082e-274,0.604917964340751,0.683,0.633,6.01289195898606e-270,"0","GSTK1"
3.15683366815382e-274,0.444160944871584,0.878,0.813,7.6818390480855e-270,"0","CNBP"
4.50491329414006e-274,0.32098638630982,1,1,1.09622560099604e-269,"0","RPL35"
1.33285712062757e-272,0.356875616000214,1,0.993,3.24337451733513e-268,"0","RPL23"
1.91875772781897e-271,0.593466075623533,0.674,0.604,4.66910505487467e-267,"0","SON"
6.37442722653547e-271,0.626278688695695,0.383,0.21,1.55115312130514e-266,"0","SMCHD1"
3.44279783705068e-270,0.63648207039166,0.406,0.242,8.37770425667912e-266,"0","ELOVL5"
